scenario,timestamp,is_entry,status,reason,requested_quantity,unfilled_quantity,explanation
fixed-5bps,2025-09-19T09:50:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T09:51:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T09:52:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T09:53:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T09:54:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T09:55:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T09:56:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T09:57:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T09:58:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T09:59:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:00:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:01:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:02:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:03:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:04:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:05:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:06:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:07:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:08:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:09:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:10:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:11:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:12:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:13:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:14:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:15:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:24:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:26:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:27:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
fixed-5bps,2025-09-19T10:28:00-04:00,True,rejected,buying_power,10,10,insufficient portfolio buying power
