scenario,timestamp,is_entry,direction,reference_price,fill_price,requested_quantity,filled_quantity,unfilled_quantity,status,spread_cost,slippage_cost,impact_cost,latency_cost,commission,explanation
volume-aware,2018-01-02T09:35:00-05:00,True,short,156.27,156.26843905606194,159,104,55,partially_filled,0.0,0.0,0.16233816955924588,0.0,0.052000000000000005,0.000999 participation; linear impact 0.099888 bps
volume-aware,2018-01-04T09:35:00-05:00,True,long,160.68,160.681597505423,156,88,68,partially_filled,0.0,0.0,0.14058047722342734,0.0,0.044,0.000994 participation; linear impact 0.099422 bps
volume-aware,2018-01-05T09:35:00-05:00,True,short,160.86,160.858394596213,156,110,46,partially_filled,0.0,0.0,0.17659441657064573,0.0,0.055,0.000998 participation; linear impact 0.099801 bps
volume-aware,2018-01-08T09:35:00-05:00,True,long,162.06,162.06160633043135,154,60,94,partially_filled,0.0,0.0,0.09637982588009845,0.0,0.03,0.000991 participation; linear impact 0.099119 bps
volume-aware,2018-01-10T09:35:00-05:00,True,long,161.94,161.94161558243854,155,135,20,partially_filled,0.0,0.0,0.2181036292021076,0.0,0.0675,0.000998 participation; linear impact 0.099764 bps
volume-aware,2018-01-11T09:35:00-05:00,True,short,162.45,162.44837775021742,154,62,92,partially_filled,0.0,0.0,0.10057948651869987,0.0,0.031,0.000999 participation; linear impact 0.099861 bps
volume-aware,2018-01-19T09:35:00-05:00,True,short,166.28,166.27834074477252,150,66,84,partially_filled,0.0,0.0,0.10951084501292695,0.0,0.033,0.000998 participation; linear impact 0.099787 bps
volume-aware,2018-01-22T09:35:00-05:00,True,short,166.23,166.22835773070878,150,66,84,partially_filled,0.0,0.0,0.10838977322056731,0.0,0.033,0.000988 participation; linear impact 0.098795 bps
volume-aware,2018-01-31T09:35:00-05:00,True,long,169.785,169.78669116107932,146,134,12,partially_filled,0.0,0.0,0.22661558462796402,0.0,0.067,0.000996 participation; linear impact 0.099606 bps
volume-aware,2018-02-21T09:35:00-05:00,True,long,166.21,166.2116538093349,156,153,3,partially_filled,0.0,0.0,0.25303282824012957,0.0,0.0765,0.000995 participation; linear impact 0.099501 bps
volume-aware,2018-02-22T09:35:00-05:00,True,long,165.98,165.98165681182152,155,112,43,partially_filled,0.0,0.0,0.18556292401204968,0.0,0.056,0.000998 participation; linear impact 0.099820 bps
volume-aware,2018-02-23T09:35:00-05:00,True,long,166.21,166.21165873374622,155,102,53,partially_filled,0.0,0.0,0.1691908421145323,0.0,0.051000000000000004,0.000998 participation; linear impact 0.099797 bps
volume-aware,2018-02-27T09:35:00-05:00,True,short,170.17,170.16830120038958,152,123,29,partially_filled,0.0,0.0,0.2089523520818115,0.0,0.0615,0.000998 participation; linear impact 0.099830 bps
volume-aware,2018-02-28T09:35:00-05:00,True,short,169.08,169.07831871254743,153,152,1,partially_filled,0.0,0.0,0.255555692790789,0.0,0.076,0.000994 participation; linear impact 0.099437 bps
volume-aware,2018-03-01T09:35:00-05:00,True,long,167.58,167.58167069060642,154,103,51,partially_filled,0.0,0.0,0.17208113245898463,0.0,0.051500000000000004,0.000997 participation; linear impact 0.099695 bps
volume-aware,2018-03-05T09:35:00-05:00,True,long,165.67,165.6716345900192,155,57,98,partially_filled,0.0,0.0,0.09317163109518616,0.0,0.0285,0.000987 participation; linear impact 0.098665 bps
volume-aware,2018-03-08T09:35:00-05:00,True,long,169.79,169.79168716808869,150,133,17,partially_filled,0.0,0.0,0.22439335579696065,0.0,0.0665,0.000994 participation; linear impact 0.099368 bps
volume-aware,2018-03-12T09:35:00-04:00,True,short,173.49,173.48827791380268,146,93,53,partially_filled,0.0,0.0,0.16015401635144944,0.0,0.0465,0.000993 participation; linear impact 0.099261 bps
volume-aware,2018-03-13T09:35:00-04:00,True,long,174.96,174.96174035224593,145,102,43,partially_filled,0.0,0.0,0.17751592908271732,0.0,0.051000000000000004,0.000995 participation; linear impact 0.099471 bps
volume-aware,2018-03-14T09:35:00-04:00,True,short,172.29,172.28827717490543,147,138,9,partially_filled,0.0,0.0,0.2377498630494326,0.0,0.069,0.001000 participation; linear impact 0.099996 bps
volume-aware,2018-03-15T09:35:00-04:00,True,short,171.56,171.5582930576118,148,125,23,partially_filled,0.0,0.0,0.21336779852587676,0.0,0.0625,0.000995 participation; linear impact 0.099495 bps
volume-aware,2018-03-16T09:35:00-04:00,True,long,171.86,171.86170937350207,148,83,65,partially_filled,0.0,0.0,0.1418780006710766,0.0,0.0415,0.000995 participation; linear impact 0.099463 bps
volume-aware,2018-03-21T09:35:00-04:00,True,long,167.35,167.35166446433647,153,147,6,partially_filled,0.0,0.0,0.24467625745950558,0.0,0.0735,0.000995 participation; linear impact 0.099460 bps
volume-aware,2018-03-27T09:35:00-04:00,True,short,164.97,164.9683593750652,153,143,10,partially_filled,0.0,0.0,0.23460936567657223,0.0,0.07150000000000001,0.000994 participation; linear impact 0.099450 bps
volume-aware,2018-04-06T09:35:00-04:00,True,long,159.4599,159.46148787770943,166,146,20,partially_filled,0.0,0.0,0.23183014557557732,0.0,0.073,0.000996 participation; linear impact 0.099578 bps
volume-aware,2018-04-12T09:35:00-04:00,True,long,161.4,161.40160978332875,162,134,28,partially_filled,0.0,0.0,0.21571096605161105,0.0,0.067,0.000997 participation; linear impact 0.099739 bps
volume-aware,2018-04-16T09:35:00-04:00,True,short,162.36,162.35838661156825,162,82,80,partially_filled,0.0,0.0,0.1322978514039191,0.0,0.041,0.000994 participation; linear impact 0.099371 bps
volume-aware,2018-04-17T09:35:00-04:00,True,short,164.06,164.05836514146748,160,84,76,partially_filled,0.0,0.0,0.1373281167329023,0.0,0.042,0.000997 participation; linear impact 0.099650 bps
volume-aware,2018-04-19T09:35:00-04:00,True,short,165.48,165.47834927179622,158,90,68,partially_filled,0.0,0.0,0.14856553833876437,0.0,0.045,0.000998 participation; linear impact 0.099754 bps
volume-aware,2018-04-23T09:35:00-04:00,True,short,162.9,162.89837978516488,162,135,27,partially_filled,0.0,0.0,0.21872900274069493,0.0,0.0675,0.000995 participation; linear impact 0.099461 bps
volume-aware,2018-04-24T09:35:00-04:00,True,short,162.46,162.45838538425653,163,147,16,partially_filled,0.0,0.0,0.23734851428919132,0.0,0.0735,0.000994 participation; linear impact 0.099385 bps
volume-aware,2018-04-25T09:35:00-04:00,True,short,158.5,158.49842117178304,166,121,45,partially_filled,0.0,0.0,0.19103821425337317,0.0,0.0605,0.000996 participation; linear impact 0.099611 bps
volume-aware,2018-04-30T09:35:00-04:00,True,short,162.37,162.3683847539892,163,124,39,partially_filled,0.0,0.0,0.2002905053389919,0.0,0.062,0.000995 participation; linear impact 0.099479 bps
volume-aware,2018-05-04T09:35:00-04:00,True,long,161.34,161.34160572046733,164,138,26,partially_filled,0.0,0.0,0.2215894244915621,0.0,0.069,0.000995 participation; linear impact 0.099524 bps
volume-aware,2018-05-07T09:35:00-04:00,True,long,165.905,165.90665855473713,162,144,18,partially_filled,0.0,0.0,0.23883188214630358,0.0,0.07200000000000001,0.001000 participation; linear impact 0.099970 bps
volume-aware,2018-05-08T09:35:00-04:00,True,long,166.06,166.06165316769147,162,119,43,partially_filled,0.0,0.0,0.19672695528506298,0.0,0.059500000000000004,0.000996 participation; linear impact 0.099552 bps
volume-aware,2018-05-09T09:35:00-04:00,True,long,166.478,166.479649065377,162,102,60,partially_filled,0.0,0.0,0.16820466845356022,0.0,0.051000000000000004,0.000991 participation; linear impact 0.099056 bps
volume-aware,2018-05-10T09:35:00-04:00,True,short,168.36,168.3583323576125,160,58,102,partially_filled,0.0,0.0,0.09672325847493811,0.0,0.029,0.000991 participation; linear impact 0.099052 bps
volume-aware,2018-05-11T09:35:00-04:00,True,long,169.4,169.40169050105595,159,43,116,partially_filled,0.0,0.0,0.07269154540602012,0.0,0.021500000000000002,0.000998 participation; linear impact 0.099793 bps
volume-aware,2018-05-14T09:35:00-04:00,True,long,170.0261,170.02779890718335,158,64,94,partially_filled,0.0,0.0,0.10873005973364976,0.0,0.032,0.000999 participation; linear impact 0.099920 bps
volume-aware,2018-05-16T09:35:00-04:00,True,long,168.13,168.13166264717697,160,64,96,partially_filled,0.0,0.0,0.10640941932692603,0.0,0.032,0.000989 participation; linear impact 0.098891 bps
volume-aware,2018-05-17T09:35:00-04:00,True,long,168.5,168.5016495610434,159,31,128,partially_filled,0.0,0.0,0.051136392345102,0.0,0.0155,0.000979 participation; linear impact 0.097897 bps
