scenario,timestamp,is_entry,status,reason,requested_quantity,unfilled_quantity,explanation
conservative-orders,2018-01-17T11:14:00-05:00,False,not_filled,ambiguous_bar,152,152,stop did not trade through under conservative policy
conservative-orders,2018-01-31T09:58:00-05:00,False,not_filled,ambiguous_bar,146,146,stop did not trade through under conservative policy
conservative-orders,2018-02-02T09:44:00-05:00,False,not_filled,ambiguous_bar,147,147,stop did not trade through under conservative policy
conservative-orders,2018-02-05T14:25:00-05:00,False,not_filled,ambiguous_bar,151,151,stop did not trade through under conservative policy
conservative-orders,2018-02-12T09:59:00-05:00,False,not_filled,ambiguous_bar,161,161,stop did not trade through under conservative policy
conservative-orders,2018-02-13T09:35:00-05:00,True,not_filled,ambiguous_bar,161,161,stop did not trade through under conservative policy
conservative-orders,2018-02-27T10:13:00-05:00,False,not_filled,ambiguous_bar,152,152,stop did not trade through under conservative policy
conservative-orders,2018-03-12T09:35:00-04:00,True,not_filled,ambiguous_bar,146,146,stop did not trade through under conservative policy
conservative-orders,2018-03-13T09:35:00-04:00,True,not_filled,price_not_reached,145,145,stop did not trade through under conservative policy
conservative-orders,2018-03-20T09:35:00-04:00,True,not_filled,price_not_reached,152,152,stop did not trade through under conservative policy
conservative-orders,2018-03-21T09:35:00-04:00,True,not_filled,price_not_reached,153,153,stop did not trade through under conservative policy
conservative-orders,2018-04-23T10:48:00-04:00,False,not_filled,ambiguous_bar,163,163,stop did not trade through under conservative policy
conservative-orders,2018-05-10T09:35:00-04:00,True,not_filled,price_not_reached,160,160,stop did not trade through under conservative policy
conservative-orders,2018-06-11T10:42:00-04:00,False,not_filled,ambiguous_bar,156,156,stop did not trade through under conservative policy
conservative-orders,2018-06-13T09:35:00-04:00,True,not_filled,ambiguous_bar,155,155,stop did not trade through under conservative policy
conservative-orders,2018-06-15T09:35:00-04:00,True,not_filled,ambiguous_bar,155,155,stop did not trade through under conservative policy
conservative-orders,2018-06-27T09:35:00-04:00,True,not_filled,price_not_reached,159,159,stop did not trade through under conservative policy
conservative-orders,2018-07-06T09:35:00-04:00,True,not_filled,price_not_reached,159,159,stop did not trade through under conservative policy
conservative-orders,2018-07-10T09:35:00-04:00,True,not_filled,price_not_reached,155,155,stop did not trade through under conservative policy
conservative-orders,2018-07-16T09:35:00-04:00,True,not_filled,ambiguous_bar,155,155,stop did not trade through under conservative policy
conservative-orders,2018-07-23T09:35:00-04:00,True,not_filled,ambiguous_bar,158,158,stop did not trade through under conservative policy
conservative-orders,2018-08-03T10:10:00-04:00,False,not_filled,ambiguous_bar,165,165,stop did not trade through under conservative policy
conservative-orders,2018-08-06T09:35:00-04:00,True,not_filled,ambiguous_bar,164,164,stop did not trade through under conservative policy
conservative-orders,2018-08-08T09:37:00-04:00,False,not_filled,ambiguous_bar,163,163,stop did not trade through under conservative policy
conservative-orders,2018-08-17T09:36:00-04:00,False,not_filled,ambiguous_bar,163,163,stop did not trade through under conservative policy
conservative-orders,2018-09-14T09:35:00-04:00,True,not_filled,ambiguous_bar,162,162,stop did not trade through under conservative policy
conservative-orders,2018-09-26T15:47:00-04:00,False,not_filled,ambiguous_bar,162,162,stop did not trade through under conservative policy
conservative-orders,2018-10-02T09:35:00-04:00,True,not_filled,ambiguous_bar,160,160,stop did not trade through under conservative policy
conservative-orders,2018-11-14T09:35:00-05:00,True,not_filled,ambiguous_bar,192,192,stop did not trade through under conservative policy
conservative-orders,2018-12-20T09:35:00-05:00,True,not_filled,ambiguous_bar,192,192,stop did not trade through under conservative policy
conservative-orders,2019-01-03T09:35:00-05:00,True,not_filled,ambiguous_bar,202,202,stop did not trade through under conservative policy
conservative-orders,2019-01-07T09:35:00-05:00,True,not_filled,ambiguous_bar,197,197,stop did not trade through under conservative policy
conservative-orders,2019-01-23T10:20:00-05:00,False,not_filled,ambiguous_bar,193,193,stop did not trade through under conservative policy
conservative-orders,2019-01-31T09:35:00-05:00,True,not_filled,ambiguous_bar,188,188,stop did not trade through under conservative policy
conservative-orders,2019-02-01T13:46:00-05:00,False,not_filled,ambiguous_bar,187,187,stop did not trade through under conservative policy
conservative-orders,2019-02-12T09:35:00-05:00,True,not_filled,ambiguous_bar,183,183,stop did not trade through under conservative policy
conservative-orders,2019-02-27T09:55:00-05:00,False,not_filled,ambiguous_bar,178,178,stop did not trade through under conservative policy
conservative-orders,2019-03-12T09:35:00-04:00,True,not_filled,ambiguous_bar,179,179,stop did not trade through under conservative policy
conservative-orders,2019-03-18T11:26:00-04:00,False,not_filled,ambiguous_bar,175,175,stop did not trade through under conservative policy
conservative-orders,2019-05-09T09:35:00-04:00,True,not_filled,ambiguous_bar,170,170,stop did not trade through under conservative policy
conservative-orders,2019-05-24T10:10:00-04:00,False,not_filled,ambiguous_bar,176,176,stop did not trade through under conservative policy
conservative-orders,2019-05-24T10:27:00-04:00,False,not_filled,ambiguous_bar,176,176,stop did not trade through under conservative policy
conservative-orders,2019-06-03T09:35:00-04:00,True,not_filled,ambiguous_bar,179,179,stop did not trade through under conservative policy
conservative-orders,2019-06-13T09:35:00-04:00,True,not_filled,price_not_reached,173,173,stop did not trade through under conservative policy
conservative-orders,2019-06-26T13:25:00-04:00,False,not_filled,ambiguous_bar,171,171,stop did not trade through under conservative policy
conservative-orders,2019-07-05T09:35:00-04:00,True,not_filled,price_not_reached,166,166,stop did not trade through under conservative policy
conservative-orders,2019-07-08T15:40:00-04:00,False,not_filled,ambiguous_bar,166,166,stop did not trade through under conservative policy
conservative-orders,2019-07-10T11:17:00-04:00,False,not_filled,ambiguous_bar,165,165,stop did not trade through under conservative policy
conservative-orders,2019-07-11T10:30:00-04:00,False,not_filled,ambiguous_bar,164,164,stop did not trade through under conservative policy
conservative-orders,2019-07-17T10:09:00-04:00,False,not_filled,ambiguous_bar,163,163,stop did not trade through under conservative policy
conservative-orders,2019-09-06T10:50:00-04:00,False,not_filled,ambiguous_bar,169,169,stop did not trade through under conservative policy
conservative-orders,2019-09-12T09:44:00-04:00,False,not_filled,ambiguous_bar,167,167,stop did not trade through under conservative policy
conservative-orders,2019-09-27T09:35:00-04:00,True,not_filled,price_not_reached,167,167,stop did not trade through under conservative policy
conservative-orders,2019-10-08T09:35:00-04:00,True,not_filled,price_not_reached,170,170,stop did not trade through under conservative policy
conservative-orders,2019-10-16T09:59:00-04:00,False,not_filled,ambiguous_bar,166,166,stop did not trade through under conservative policy
conservative-orders,2019-10-29T09:35:00-04:00,True,not_filled,price_not_reached,163,163,stop did not trade through under conservative policy
conservative-orders,2019-10-30T14:15:00-04:00,False,not_filled,ambiguous_bar,164,164,stop did not trade through under conservative policy
conservative-orders,2019-11-26T09:55:00-05:00,False,not_filled,ambiguous_bar,156,156,stop did not trade through under conservative policy
conservative-orders,2019-12-04T09:35:00-05:00,True,not_filled,price_not_reached,158,158,stop did not trade through under conservative policy
conservative-orders,2019-12-13T09:35:00-05:00,True,not_filled,ambiguous_bar,155,155,stop did not trade through under conservative policy
conservative-orders,2019-12-23T09:35:00-05:00,False,not_filled,ambiguous_bar,151,151,stop did not trade through under conservative policy
conservative-orders,2020-01-10T10:41:00-05:00,False,not_filled,ambiguous_bar,150,150,stop did not trade through under conservative policy
conservative-orders,2020-01-10T10:42:00-05:00,False,not_filled,ambiguous_bar,150,150,stop did not trade through under conservative policy
conservative-orders,2020-01-10T11:13:00-05:00,False,not_filled,ambiguous_bar,150,150,stop did not trade through under conservative policy
conservative-orders,2020-01-23T10:07:00-05:00,False,not_filled,ambiguous_bar,146,146,stop did not trade through under conservative policy
conservative-orders,2020-01-28T10:23:00-05:00,False,not_filled,ambiguous_bar,150,150,stop did not trade through under conservative policy
conservative-orders,2020-02-20T09:35:00-05:00,True,not_filled,ambiguous_bar,143,143,stop did not trade through under conservative policy
conservative-orders,2020-03-09T09:49:00-04:00,True,not_filled,price_not_reached,177,177,stop did not trade through under conservative policy
conservative-orders,2020-06-03T09:37:00-04:00,False,not_filled,ambiguous_bar,148,148,stop did not trade through under conservative policy
conservative-orders,2020-06-22T09:35:00-04:00,True,not_filled,price_not_reached,144,144,stop did not trade through under conservative policy
conservative-orders,2020-07-10T13:07:00-04:00,False,not_filled,ambiguous_bar,137,137,stop did not trade through under conservative policy
conservative-orders,2020-07-23T09:40:00-04:00,False,not_filled,ambiguous_bar,135,135,stop did not trade through under conservative policy
conservative-orders,2020-08-28T09:39:00-04:00,False,not_filled,ambiguous_bar,122,122,stop did not trade through under conservative policy
conservative-orders,2020-08-31T09:42:00-04:00,False,not_filled,ambiguous_bar,121,121,stop did not trade through under conservative policy
conservative-orders,2020-09-28T15:00:00-04:00,False,not_filled,ambiguous_bar,132,132,stop did not trade through under conservative policy
conservative-orders,2020-09-29T09:43:00-04:00,False,not_filled,ambiguous_bar,131,131,stop did not trade through under conservative policy
conservative-orders,2020-10-13T11:20:00-04:00,False,not_filled,ambiguous_bar,125,125,stop did not trade through under conservative policy
conservative-orders,2020-10-14T09:35:00-04:00,True,not_filled,price_not_reached,124,124,stop did not trade through under conservative policy
conservative-orders,2020-12-28T11:02:00-05:00,False,not_filled,ambiguous_bar,109,109,stop did not trade through under conservative policy
conservative-orders,2021-01-13T09:35:00-05:00,True,not_filled,price_not_reached,110,110,stop did not trade through under conservative policy
conservative-orders,2021-01-29T09:35:00-05:00,True,not_filled,price_not_reached,109,109,stop did not trade through under conservative policy
conservative-orders,2021-02-05T12:17:00-05:00,False,not_filled,ambiguous_bar,106,106,stop did not trade through under conservative policy
conservative-orders,2021-02-12T09:44:00-05:00,False,not_filled,ambiguous_bar,105,105,stop did not trade through under conservative policy
conservative-orders,2021-05-11T09:35:00-04:00,True,not_filled,price_not_reached,110,110,stop did not trade through under conservative policy
conservative-orders,2021-05-13T09:39:00-04:00,False,not_filled,ambiguous_bar,109,109,stop did not trade through under conservative policy
conservative-orders,2021-06-15T09:35:00-04:00,True,not_filled,ambiguous_bar,106,106,stop did not trade through under conservative policy
conservative-orders,2021-07-09T09:35:00-04:00,True,not_filled,ambiguous_bar,102,102,stop did not trade through under conservative policy
conservative-orders,2021-07-13T09:35:00-04:00,True,not_filled,price_not_reached,101,101,stop did not trade through under conservative policy
conservative-orders,2021-07-23T10:06:00-04:00,False,not_filled,ambiguous_bar,101,101,stop did not trade through under conservative policy
conservative-orders,2021-08-04T09:45:00-04:00,False,not_filled,ambiguous_bar,100,100,stop did not trade through under conservative policy
conservative-orders,2021-08-10T09:52:00-04:00,False,not_filled,ambiguous_bar,99,99,stop did not trade through under conservative policy
conservative-orders,2021-08-20T09:37:00-04:00,False,not_filled,ambiguous_bar,100,100,stop did not trade through under conservative policy
conservative-orders,2021-10-15T09:35:00-04:00,True,not_filled,price_not_reached,102,102,stop did not trade through under conservative policy
conservative-orders,2021-11-12T10:45:00-05:00,False,not_filled,ambiguous_bar,97,97,stop did not trade through under conservative policy
conservative-orders,2021-12-21T09:35:00-05:00,True,not_filled,price_not_reached,95,95,stop did not trade through under conservative policy
conservative-orders,2021-12-22T09:35:00-05:00,False,not_filled,ambiguous_bar,94,94,stop did not trade through under conservative policy
conservative-orders,2022-02-28T09:40:00-05:00,False,not_filled,ambiguous_bar,104,104,stop did not trade through under conservative policy
conservative-orders,2022-05-03T09:56:00-04:00,False,not_filled,ambiguous_bar,118,118,stop did not trade through under conservative policy
conservative-orders,2022-10-20T09:35:00-04:00,True,not_filled,price_not_reached,165,165,stop did not trade through under conservative policy
conservative-orders,2022-10-26T09:35:00-04:00,True,not_filled,price_not_reached,161,161,stop did not trade through under conservative policy
conservative-orders,2022-11-09T09:43:00-05:00,False,not_filled,ambiguous_bar,168,168,stop did not trade through under conservative policy
conservative-orders,2022-11-10T09:35:00-05:00,True,not_filled,price_not_reached,162,162,stop did not trade through under conservative policy
conservative-orders,2022-11-30T10:50:00-05:00,False,not_filled,ambiguous_bar,156,156,stop did not trade through under conservative policy
conservative-orders,2023-01-04T09:35:00-05:00,True,not_filled,price_not_reached,166,166,stop did not trade through under conservative policy
conservative-orders,2023-01-11T09:35:00-05:00,True,not_filled,price_not_reached,158,158,stop did not trade through under conservative policy
conservative-orders,2023-01-17T09:35:00-05:00,True,not_filled,price_not_reached,153,153,stop did not trade through under conservative policy
conservative-orders,2023-01-20T09:40:00-05:00,False,not_filled,ambiguous_bar,155,155,stop did not trade through under conservative policy
conservative-orders,2023-01-24T10:05:00-05:00,False,not_filled,ambiguous_bar,148,148,stop did not trade through under conservative policy
conservative-orders,2023-04-11T09:35:00-04:00,True,not_filled,price_not_reached,131,131,stop did not trade through under conservative policy
conservative-orders,2023-04-25T09:35:00-04:00,True,not_filled,price_not_reached,135,135,stop did not trade through under conservative policy
conservative-orders,2023-06-06T09:49:00-04:00,False,not_filled,ambiguous_bar,119,119,stop did not trade through under conservative policy
conservative-orders,2023-07-20T10:01:00-04:00,False,not_filled,ambiguous_bar,109,109,stop did not trade through under conservative policy
conservative-orders,2023-08-01T09:37:00-04:00,False,not_filled,ambiguous_bar,109,109,stop did not trade through under conservative policy
conservative-orders,2023-08-28T09:40:00-04:00,False,not_filled,ambiguous_bar,120,120,stop did not trade through under conservative policy
conservative-orders,2023-09-20T09:35:00-04:00,True,not_filled,price_not_reached,121,121,stop did not trade through under conservative policy
conservative-orders,2023-09-22T09:46:00-04:00,False,not_filled,ambiguous_bar,125,125,stop did not trade through under conservative policy
conservative-orders,2023-12-04T09:35:00-05:00,True,not_filled,ambiguous_bar,112,112,stop did not trade through under conservative policy
conservative-orders,2023-12-12T09:51:00-05:00,False,not_filled,ambiguous_bar,112,112,stop did not trade through under conservative policy
conservative-orders,2024-01-23T09:55:00-05:00,False,not_filled,ambiguous_bar,105,105,stop did not trade through under conservative policy
conservative-orders,2024-03-20T14:00:00-04:00,False,not_filled,ambiguous_bar,99,99,stop did not trade through under conservative policy
conservative-orders,2024-03-28T09:40:00-04:00,False,not_filled,ambiguous_bar,97,97,stop did not trade through under conservative policy
conservative-orders,2024-05-06T09:35:00-04:00,True,not_filled,price_not_reached,99,99,stop did not trade through under conservative policy
conservative-orders,2024-05-31T09:35:00-04:00,True,not_filled,price_not_reached,98,98,stop did not trade through under conservative policy
conservative-orders,2024-06-24T09:35:00-04:00,True,not_filled,ambiguous_bar,92,92,stop did not trade through under conservative policy
conservative-orders,2024-06-28T09:35:00-04:00,True,not_filled,price_not_reached,91,91,stop did not trade through under conservative policy
conservative-orders,2024-07-03T09:35:00-04:00,True,not_filled,price_not_reached,91,91,stop did not trade through under conservative policy
conservative-orders,2024-07-23T10:49:00-04:00,False,not_filled,ambiguous_bar,92,92,stop did not trade through under conservative policy
conservative-orders,2024-07-30T09:35:00-04:00,True,not_filled,ambiguous_bar,96,96,stop did not trade through under conservative policy
conservative-orders,2024-07-31T09:35:00-04:00,True,not_filled,price_not_reached,96,96,stop did not trade through under conservative policy
