window_id,purpose,start_date,end_date,strategy_name,friction_bps,starting_capital,ending_capital,total_return,total_pnl,total_trades,winning_trades,losing_trades,win_rate,average_winner,average_loser,profit_factor,maximum_drawdown,average_trade_return,largest_winning_trade,largest_losing_trade,sharpe,sortino,return_over_max_drawdown,long_trades,short_trades,long_pnl,short_pnl,stop_exits,target_exits,eod_exits,average_holding_minutes,market_exposure,total_fees,modeled_slippage_cost,quality_clean,expected_sessions,represented_sessions,missing_sessions,truncated_sessions,missing_regular_session_bars,malformed_bars,duplicate_timestamps
1,research,2018-01-01,2020-12-31,orb-v1,0.0,10000.0,10236.40247500005,0.02364024750000499,236.4024750000499,753,310,443,0.4116865869853918,13.036564032258074,-8.589012133182761,1.062130532609017,0.018530186678994563,0.00016523904739229817,31.082000000000107,-15.619499999999675,0.42002882129809554,1.3914907187445393,1.2757695272872283,390,363,318.9476450000012,-82.54516999996184,335,139,279,200.1726427622842,0.515199989062297,0.0,0.0,False,756,756,,2018-05-02;2018-05-03;2020-03-09;2020-03-12;2020-03-16;2020-03-18,834,0,0
1,validation,2021-01-01,2021-12-31,orb-v1,0.0,10000.0,10667.381025000022,0.06673810250000224,667.3810250000224,252,124,128,0.49206349206349204,21.190768387096785,-15.31464261718738,1.3404528847418964,0.011842811146748445,0.0007586976388887283,39.85500000000002,-20.367499999999836,2.069461477898281,8.670200667056175,5.635326078667211,142,110,238.7312849999995,428.64974000001666,101,46,105,221.9404761904762,0.5701223241590214,0.0,0.0,True,252,252,,,0,0,0
1,out_of_sample,2022-01-01,2022-12-31,orb-v1,0.0,10000.0,10008.355710000027,0.0008355710000027102,8.355710000027102,250,86,164,0.344,29.419413488372154,-15.376303963414484,1.0033135044247903,0.0439837971499744,0.00011337002682305977,40.09400000000028,-19.949499999999603,0.04136171517385638,0.324879753901057,0.018997245671027667,121,129,-209.7896949999972,218.14540500002636,159,80,11,91.732,0.23470473851192303,0.0,0.0,True,251,251,,,0,0,0
2,research,2019-01-01,2021-12-31,orb-v1,0.0,10000.0,10915.230025000057,0.09152300250000571,915.2300250000571,756,339,417,0.44841269841269843,16.437733421828913,-11.168253249400381,1.1965209933916499,0.017777020537690397,0.00043613572926151515,39.85500000000002,-20.367499999999836,1.21058546205355,3.8450667278726987,5.148388184958268,408,348,529.8701250000016,385.35990000004205,318,139,299,207.6626984126984,0.5338191190571722,0.0,0.0,False,757,757,,2020-03-09;2020-03-12;2020-03-16;2020-03-18,56,0,0
2,validation,2022-01-01,2022-12-31,orb-v1,0.0,10000.0,10008.355710000027,0.0008355710000027102,8.355710000027102,250,86,164,0.344,29.419413488372154,-15.376303963414484,1.0033135044247903,0.0439837971499744,0.00011337002682305977,40.09400000000028,-19.949499999999603,0.04136171517385638,0.324879753901057,0.018997245671027667,121,129,-209.7896949999972,218.14540500002636,159,80,11,91.732,0.23470473851192303,0.0,0.0,True,251,251,,,0,0,0
2,out_of_sample,2023-01-01,2023-12-31,orb-v1,0.0,10000.0,10145.886385000016,0.014588638500001616,145.88638500001616,250,99,151,0.396,24.441731717171777,-15.058576523178704,1.0641584547193443,0.02160202938807135,0.00020434936186666081,38.241500000000315,-20.579500000000053,0.4603070023981044,2.025189986514998,0.6753364805649912,141,109,188.2257800000002,-42.339394999978026,123,54,73,192.308,0.49492485073090386,0.0,0.0,True,250,250,,,0,0,0
3,research,2020-01-01,2022-12-31,orb-v1,0.0,10000.0,10763.174925000081,0.07631749250000812,763.1749250000812,755,310,445,0.4105960264900662,22.722287032258087,-14.114009112359419,1.1215104665023223,0.04137260329456766,0.0003513396744118882,40.09400000000028,-20.367499999999836,0.8365430235234245,4.213578235944991,1.844638394075357,400,355,175.11549500000484,588.0594300000607,399,188,168,156.26887417218543,0.40121538168561943,0.0,0.0,False,756,756,,2020-03-09;2020-03-12;2020-03-16;2020-03-18,56,0,0
3,validation,2023-01-01,2023-12-31,orb-v1,0.0,10000.0,10145.886385000016,0.014588638500001616,145.88638500001616,250,99,151,0.396,24.441731717171777,-15.058576523178704,1.0641584547193443,0.02160202938807135,0.00020434936186666081,38.241500000000315,-20.579500000000053,0.4603070023981044,2.025189986514998,0.6753364805649912,141,109,188.2257800000002,-42.339394999978026,123,54,73,192.308,0.49492485073090386,0.0,0.0,True,250,250,,,0,0,0
3,out_of_sample,2024-01-01,2024-12-31,orb-v1,0.0,10000.0,10559.671850000048,0.05596718500000479,559.6718500000479,252,116,136,0.4603174603174603,28.123930258620742,-19.872823970588037,1.2070784805052013,0.019784350726228254,0.00045143539102847433,50.15800000000013,-26.787500000000364,1.3276445927175915,5.2798362306080815,2.8288613447298374,119,133,486.7310399999991,72.94081000003416,108,41,103,218.61111111111111,0.5636382238592184,0.0,0.0,True,252,252,,,0,0,0
4,research,2021-01-01,2023-12-31,orb-v1,0.0,10000.0,10821.62312000007,0.08216231200000693,821.6231200000693,752,309,443,0.4109042553191489,24.522512233009746,-15.250187720090166,1.1216168458488212,0.04171090327409774,0.000359869218314348,40.09400000000028,-20.579500000000053,0.8490660346274239,4.279317763998484,1.9698041890890747,404,348,217.1673700000025,604.455750000065,383,180,189,168.80186170212767,0.43331285202252945,0.0,0.0,True,753,753,,,0,0,0
