window_id,purpose,start_date,end_date,strategy_name,friction_bps,starting_capital,ending_capital,total_return,total_pnl,total_trades,winning_trades,losing_trades,win_rate,average_winner,average_loser,profit_factor,maximum_drawdown,average_trade_return,largest_winning_trade,largest_losing_trade,sharpe,sortino,return_over_max_drawdown,long_trades,short_trades,long_pnl,short_pnl,stop_exits,target_exits,eod_exits,average_holding_minutes,market_exposure,total_fees,modeled_slippage_cost,quality_clean,expected_sessions,represented_sessions,missing_sessions,truncated_sessions,missing_regular_session_bars,malformed_bars,duplicate_timestamps
1,research,2018-01-01,2020-12-31,reference-orb-v1,0.0,25000.0,32308.62140000007,0.29234485600000276,7308.621400000069,745,174,571,0.23355704697986576,291.34603793103526,-75.98176742556907,1.1684573503498759,0.105451323193372,0.00034108222882930944,1186.1849999999997,-250.00199999999884,0.8757467577444331,3.5808340221962585,2.7723204142627362,393,352,2211.5736000000766,5097.04780000011,560,20,165,128.30067114093958,0.3267091869868679,113.84700000000001,0.0,False,756,756,,2018-05-02;2018-05-03;2020-03-09;2020-03-12;2020-03-16;2020-03-18,834,0,0
1,validation,2021-01-01,2021-12-31,reference-orb-v1,0.0,25000.0,26737.10070000001,0.06948402800000039,1737.10070000001,252,65,187,0.25793650793650796,205.97274461538436,-62.30549572192506,1.1490929242840586,0.06612141581474856,0.0002795666665455408,463.4629999999986,-228.26999999999936,0.876284111943193,3.3518769985604644,1.0508551146979794,131,121,1638.8652999999838,98.23540000001249,184,1,67,132.43650793650792,0.340203873598369,18.807,0.0,True,252,252,,,0,0,0
1,out_of_sample,2022-01-01,2022-12-31,reference-orb-v1,0.0,25000.0,29864.440099999945,0.19457760399999782,4864.440099999945,250,61,189,0.244,416.3933655737707,-108.65373121693135,1.2368789181799176,0.0810338495408349,0.0007402435474478437,1422.9930000000104,-248.98199999999977,1.1947112444214543,6.338531188606987,2.4011891956576186,118,132,4183.254399999999,681.1856999999839,188,5,57,124.128,0.3175928768805649,22.206,0.0,True,251,251,,,0,0,0
2,research,2019-01-01,2021-12-31,reference-orb-v1,0.0,25000.0,28924.446299999952,0.15697785199999809,3924.4462999999523,752,179,573,0.23803191489361702,238.4575145251394,-67.64301710296674,1.101251344420564,0.11029090806077527,0.00018839446000786075,999.2709999999996,-250.00199999999884,0.5648359743628792,2.028764718728063,1.423307276729431,386,366,3602.865900000012,321.58040000000943,562,12,178,129.81515957446808,0.3319380878222609,82.88300000000001,0.0,False,757,757,,2020-03-09;2020-03-12;2020-03-16;2020-03-18,56,0,0
2,validation,2022-01-01,2022-12-31,reference-orb-v1,0.0,25000.0,29864.440099999945,0.19457760399999782,4864.440099999945,250,61,189,0.244,416.3933655737707,-108.65373121693135,1.2368789181799176,0.0810338495408349,0.0007402435474478437,1422.9930000000104,-248.98199999999977,1.1947112444214543,6.338531188606987,2.4011891956576186,118,132,4183.254399999999,681.1856999999839,188,5,57,124.128,0.3175928768805649,22.206,0.0,True,251,251,,,0,0,0
2,out_of_sample,2023-01-01,2023-12-31,reference-orb-v1,0.0,25000.0,24586.425699999963,-0.016542972000001464,-413.5743000000366,249,53,196,0.21285140562248997,199.06128679245225,-55.937869897959104,0.9622782747531697,0.08264073559230378,-5.36825274122754e-05,617.5360000000022,-225.09,-0.16255611878417012,-0.6693813227559998,-0.2001793895157691,143,106,-165.7808000000263,-247.7934999999867,195,4,50,108.63453815261045,0.27846407247271976,17.328,0.0,True,250,250,,,0,0,0
3,research,2020-01-01,2022-12-31,reference-orb-v1,0.0,25000.0,32364.108400000157,0.2945643360000063,7364.108400000157,752,182,570,0.24202127659574468,317.7924346153848,-88.5510784210526,1.1458987135043315,0.11225376290558546,0.00035214729703915307,1542.684000000011,-250.00199999999884,0.7539508864154442,3.070070627018036,2.624093200757634,380,372,5687.5915,1676.5169000000544,562,11,179,128.20079787234042,0.3278435986723978,69.274,0.0,False,756,756,,2020-03-09;2020-03-12;2020-03-16;2020-03-18,56,0,0
3,validation,2023-01-01,2023-12-31,reference-orb-v1,0.0,25000.0,24586.425699999963,-0.016542972000001464,-413.5743000000366,249,53,196,0.21285140562248997,199.06128679245225,-55.937869897959104,0.9622782747531697,0.08264073559230378,-5.36825274122754e-05,617.5360000000022,-225.09,-0.16255611878417012,-0.6693813227559998,-0.2001793895157691,143,106,-165.7808000000263,-247.7934999999867,195,4,50,108.63453815261045,0.27846407247271976,17.328,0.0,True,250,250,,,0,0,0
3,out_of_sample,2024-01-01,2024-12-31,reference-orb-v1,0.0,25000.0,27496.742600000158,0.09986970400000632,2496.742600000158,251,56,195,0.22310756972111553,212.29408571428607,-48.1626984615383,1.2658449093202973,0.054776003593867584,0.00039577860556852133,624.3439999999987,-150.69599999999988,1.2331553136908477,6.327552563938353,1.8232382329401478,122,129,981.1237999999876,1515.6188000000643,192,3,56,123.62549800796813,0.31747493349703293,13.623000000000001,0.0,True,252,252,,,0,0,0
4,research,2021-01-01,2023-12-31,reference-orb-v1,0.0,25000.0,31424.224299999947,0.2569689719999979,6424.224299999947,751,179,572,0.23834886817576564,301.29491005586567,-83.05518286713286,1.1352252921001125,0.12406474575924621,0.0003224297436827972,1529.3850000000111,-250.1,0.7317019430550279,3.11154862570164,2.071248930769253,392,359,5872.641399999949,551.5829000000126,567,10,174,121.77896138482024,0.31218979348011605,64.652,0.0,True,753,753,,,0,0,0
